DATE	NEGCODE	NAME	SECTOR	WEIGHT	EXPECTEDRETURN	FORWARDReturn
2017-12-28	SBSP3	Companhia de Saneamento Básico do Estado de São Paulo - SABESP	Utilities	0.009389	0.0014239733351293165	0.07457034663559575
2017-12-28	SANB11	BCO Santander(Brasil) S.A.	Financial	0.009205999999999999	0.0016104292025721583	0.11825595984943538
2017-12-28	CSNA3	Companhia Siderúrgica Nacional	Basic Materials	0.004488	0.0016484478414736485	0.29236276849641996
2017-12-28	TAEE11	Transmissora Aliança de Energia Elétrica S.A.	Utilities	0.0035670000000000003	-0.000301004442697833	-0.04639175257731951
2017-12-28	VIVT4	Telefônica Brasil S.A.	Technology	0.017415	0.0004792334453607677	0.09481694775812423
2017-12-28	TIMP3	TIM Participações S.A.	Technology	0.007832	0.0022216028545161077	0.0045801526717557635
2017-12-28	UGPA3	Ultrapar Participações S.A.	Basic Materials	0.025359	0.00010244562498476134	0.06600000000000004
2017-12-28	USIM5	Usinas Siderúrgicas de Minas Gerais S.A.	Basic Materials	0.003024	0.005985331100055338	0.27252747252747256
2017-12-28	VALE3	Vale S.A.	Basic Materials	0.090439	0.0025390115135812048	0.030054644808743192
2017-12-28	WEGE3	WEG S.A.	Industrial Goods	0.010008	0.0016969491954694556	-0.004562422231439213
2017-11-29	ABEV3	Ambev S.A.	Consumer Goods	0.070389	0.0009271169941151719	0.035019455252918406
2017-11-29	BBSE3	BB Seguridade Participações S.A.	Financial	0.015991	-0.0003616328397886596	0.061080074487895604
2017-11-29	BVMF3	B3 S.A. - Brasil, Bolsa, Balcão	Financial	0.038677	0.0015356034883529735	-0.03063829787234038
2017-11-29	BRML3	BR Malls Participações S.A.	Financial	0.009792	-0.0006088271220904721	0.04088307440719542
2017-11-29	BBDC3	Banco Bradesco S.A.	Financial	0.015069999999999998	-5.049572543877473e-06	0.044299674267101075
2017-11-29	BBDC4	Banco Bradesco S.A.	Financial	0.084595	0.0004194327979041941	0.030127814972611137
2017-11-29	BRAP4	Bradespar S.A.	Financial	0.005115	0.0019285637624088204	0.12627450980392152
2017-11-29	BBAS3	Banco do Brasil S.A.	Financial	0.032339	0.00010764582486246448	0.021181001283697053
2017-11-29	BRKM5	Braskem S.A.	Basic Materials	0.008661	0.0024075386033664643	-0.06089813800657177
2017-11-29	BRFS3	BRF S.A.	Consumer Goods	0.029184	-7.03765583184883e-05	-0.06846525833545426
2017-11-29	CCRO3	CCR S.A.	Industrial Goods	0.016733	-0.0002889578113779915	0.009374999999999911
2017-11-29	CMIG4	Companhia Energética de Minas Gerais	Utilities	0.005992	-0.001488701987513307	-0.02136752136752129
2017-11-29	CIEL3	Cielo S.A.	Technology	0.021523	-0.00038796312040949657	0.023053501522401095
2017-11-29	CPLE6	Companhia Paranaense de Energia - COPEL	Utilities	0.002493	-0.0010988906702814076	0.030991735537190084
2017-11-29	CSAN3	Cosan S.A. Indústria e Comércio	Basic Materials	0.0050929999999999994	0.00015098775845359932	0.13543091655266767
2017-11-29	CPFE3	CPFL Energia S.A.	Utilities	0.010744	-0.00013473405663749763	-0.23457278481012656
2017-11-29	CYRE3	Cyrela Brazil Realty S.A. Empreendimentos e Participações	Industrial Goods	0.002762	4.346752299864543e-05	0.061847389558233046
2017-11-29	ECOR3	EcoRodovias Infraestrutura e Logística S.A.	Industrial Goods	0.0017100000000000001	0.0020885947038007287	0.014851485148514976
2017-11-29	ELET3	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.004082	0.002814580790961129	-0.03251625812906447
2017-11-29	ELET6	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.003985	0.0014808588720054423	0.0017652250661959023
2017-11-29	EMBR3	Embraer S.A.	Industrial Goods	0.011297999999999999	0.00012758304039105597	0.2861736334405144
2017-11-29	ENBR3	EDP - Energias do Brasil S.A.	Utilities	0.003865	0.0006767681276428615	-0.017543859649122806
2017-11-29	EGIE3	Engie Brasil Energia S.A.	Utilities	0.006321	0.0003862087837874041	-0.01661589587371923
2017-11-29	EQTL3	Equatorial Energia S.A.	Utilities	0.010399	0.0008483466264017469	0.016253869969040425
2017-11-29	ESTC3	Estácio Participações S.A.	Services	0.006836	0.004561167576826339	0.06593049691458269
2017-11-29	FIBR3	Fibria Celulose S.A.	Consumer Goods	0.008239	0.0037041245001501293	0.0010460251046025997
